Name,Price,Category,Question,Answer,Company,PriceQ,PriceA,CompanyQ,CompanyA,VariantQ,VariantA
Paradontax,150,Tooth Paste,What is Paradontax?,Parodontax is a brand of specialist toothpaste designed to help prevent and treat bleeding gums by targeting plaque.,Haleon plc,What is the price of Paradontax?,The price of Paradontax is 150.0rs,Who is the manufacturer of Paradontax?,The manufacturer of Paradontax is Haleon plc,How many variants are there of Paradontax?,
Doctor,150,Tooth Paste,What is Doctor?,"Doctor Toothpaste is a brand of oral care product that is formulated to protect gums and teeth by reducing sensitivity, relieving toothaches, stopping gum bleeding, and preventing bad breath.",Anfords Pakistan (Pvt.) Ltd,What is the price of Doctor?,The price of Doctor is 150.0rs,Who is the manufacturer of Doctor?,The manufacturer of Doctor is Anfords Pakistan (Pvt.) Ltd,How many variants are there of Doctor?,
Nankhatai,20,Biscuit,What is Nankhatai?,"Nankhatai is a type of shortbread biscuit from the Indian subcontinent, known for its soft, crumbly, melt-in-the-mouth texture.",LU,What is the price of Nankhatai?,The price of Nankhatai is 20.0rs,Who is the manufacturer of Nankhatai?,The manufacturer of Nankhatai is LU,How many variants are there of Nankhatai?,
Butter,20,Biscuit,What is Butter?,"A butter biscuit is a type of cookie or a savory baked good made with a significant amount of butter as a primary ingredient, which gives it a rich flavor and tender, flaky, or crispy texture depending on the recipe.",LU,What is the price of Butter?,The price of Butter is 20.0rs,Who is the manufacturer of Butter?,The manufacturer of Butter is LU,How many variants are there of Butter?,
Cafe,20,Biscuit,What is Cafe?,"A cafe biscuit is typically a sweet, soft, or crumbly biscuit designed to be paired with tea or coffee.",Mayfair,What is the price of Cafe?,The price of Cafe is 20.0rs,Who is the manufacturer of Cafe?,The manufacturer of Cafe is Mayfair,How many variants are there of Cafe?,
Digestive,30,Biscuit,What is Digestive?,"A digestive biscuit is a semi-sweet, hard biscuit made from whole-wheat flour and is known for its slightly crumbly texture and malty flavor.",Innovative,What is the price of Digestive?,The price of Digestive is 30.0rs,Who is the manufacturer of Digestive?,The manufacturer of Digestive is Innovative,How many variants are there of Digestive?,
Chocolatto,20,Biscuit,What is Chocolatto?,"Chocolatto is a popular brand of biscuit, specifically from the Pakistani company Bisconni, known for its combination of a crispy biscuit shell and a rich, creamy chocolate filling inside.",Bisconni,What is the price of Chocolatto?,The price of Chocolatto is 20.0rs,Who is the manufacturer of Chocolatto?,The manufacturer of Chocolatto is Bisconni,How many variants are there of Chocolatto?,
Party Pik,20,Biscuit,What is Party Pik?,Party Pik is a brand of biscuits from the Pakistani manufacturer Peek Freans and English Biscuit Manufacturers (EBM).,Peek Freans,What is the price of Party Pik?,The price of Party Pik is 20.0rs,Who is the manufacturer of Party Pik?,The manufacturer of Party Pik is Peek Freans,How many variants are there of Party Pik?,
Rite,20,Biscuit,What is Rite?,"Rite! is a brand of sandwich biscuit produced by Bisconni, known for its dark, crunchy biscuits with a vanilla or chocolate cream filling.",Bisconni,What is the price of Rite?,The price of Rite is 20.0rs,Who is the manufacturer of Rite?,The manufacturer of Rite is Bisconni,How many variants are there of Rite?,
Bistiks,20,Biscuit,What is Bistiks?,"Bistiks is a brand name for a type of biscuit, specifically LU Bakeri Bistiks, which are typically crunchy, finger-shaped biscuits often infused with flavors like lemon and vanilla. ",LU,What is the price of Bistiks?,The price of Bistiks is 20.0rs,Who is the manufacturer of Bistiks?,The manufacturer of Bistiks is LU,How many variants are there of Bistiks?,
Click,20,Biscuit,What is Click?," It is described as a soft dough biscuit with a distinctive crunchy texture and the added ""zing"" of roasted cumin seeds.",Peek Freans,What is the price of Click?,The price of Click is 20.0rs,Who is the manufacturer of Click?,The manufacturer of Click is Peek Freans,How many variants are there of Click?,
Gluco,20,Biscuit,What is Gluco?,"A ""Gluco"" biscuit is a type of energy biscuit, often a plain, sweet, and crunchy biscuit that provides a quick source of energy due to its glucose content",Peek Freans,What is the price of Gluco?,The price of Gluco is 20.0rs,Who is the manufacturer of Gluco?,The manufacturer of Gluco is Peek Freans,How many variants are there of Gluco?,
Choco Lava,30,Biscuit,What is Choco Lava?,"A choco lava biscuit is a biscuit with a crispy outer layer and a soft, molten chocolate center that flows out when bitten into",Peek Freans,What is the price of Choco Lava?,The price of Choco Lava is 30.0rs,Who is the manufacturer of Choco Lava?,The manufacturer of Choco Lava is Peek Freans,How many variants are there of Choco Lava?,
Rollies,50,Cake,What is Rollies?,"They are a type of cake roll or Swiss roll, a dessert made from a thin sponge cake",Bisconni,What is the price of Rollies?,The price of Rollies is 50.0rs,Who is the manufacturer of Rollies?,The manufacturer of Rollies is Bisconni,How many variants are there of Rollies?,
Wheatable,20,Biscuit,What is Wheatable?,"Wheatable is a brand of whole wheat biscuits, marketed as a healthy snack option that is high in fiber",LU,What is the price of Wheatable?,The price of Wheatable is 20.0rs,Who is the manufacturer of Wheatable?,The manufacturer of Wheatable is LU,How many variants are there of Wheatable?,
Coconut,20,Biscuit,What is Coconut?,"Coconut is a biscuit made with real coconut flakes, giving it a tropical flavor and a sweet, crunchy texture",LU,What is the price of Coconut?,The price of Coconut is 20.0rs,Who is the manufacturer of Coconut?,The manufacturer of Coconut is LU,How many variants are there of Coconut?,
Nice,20,Biscuit,What is Nice?,"A ""Nice"" biscuit is a thin, rectangular, coconut-flavored biscuit that is lightly sprinkled with sugar crystals, often with the word ""NICE"" imprinted on to",LU,What is the price of Nice?,The price of Nice is 20.0rs,Who is the manufacturer of Nice?,The manufacturer of Nice is LU,How many variants are there of Nice?,
Classic,20,Biscuit,What is Classic?,"Classic biscuits, often called Bakeri Classic, are a traditional milk and egg biscuit",LU,What is the price of Classic?,The price of Classic is 20.0rs,Who is the manufacturer of Classic?,The manufacturer of Classic is LU,How many variants are there of Classic?,
Peanut,20,Biscuit,What is Peanut?,"These are biscuits that contain roasted peanuts, offering a crispy texture and rich peanut flavor",Innovative,What is the price of Peanut?,The price of Peanut is 20.0rs,Who is the manufacturer of Peanut?,The manufacturer of Peanut is Innovative,How many variants are there of Peanut?,
Chai Wala Biscuit,20,Biscuit,What is Chai Wala Biscuit?,"A ""Chai Wala Biscuit"" is a type of cookie or cracker, specifically designed to be eaten with tea.",Bisconni,What is the price of Chai Wala Biscuit?,The price of Chai Wala Biscuit is 20.0rs,Who is the manufacturer of Chai Wala Biscuit?,The manufacturer of Chai Wala Biscuit is Bisconni,How many variants are there of Chai Wala Biscuit?,
Frisky,40,Wafer,What is Frisky?," Frisky is a crispy, sweet wafers filled with layers of flavored cream, such as orange, vanilla, or chocolate",Innovative,What is the price of Frisky?,The price of Frisky is nanrs,Who is the manufacturer of Frisky?,The manufacturer of Frisky is Innovative,How many variants are there of Frisky?,
Deluxe,20,Biscuit,What is Deluxe?,Delice Buiscuit  refers to a type of butter cookie or a sugar-sprinkled coconut biscuit,Bisconni,What is the price of Deluxe?,The price of Deluxe is 20.0rs,Who is the manufacturer of Deluxe?,The manufacturer of Deluxe is Bisconni,How many variants are there of Deluxe?,
TeaTime,20,Biscuit,What is TeaTime?,"Teatime biscuits are a crispy, traditional Pakistani snack, typically flavored with lemon and vanilla, designed to be eaten with tea",Cookania,What is the price of TeaTime?,The price of TeaTime is 20.0rs,Who is the manufacturer of TeaTime?,The manufacturer of TeaTime is Cookania,How many variants are there of TeaTime?,
Saltish,50,Biscuit,What is Saltish?,"Saltish biscuits are a crispy, savory snack that offers a combination of salty and slightly sweet flavor",Peek Freans,What is the price of Saltish?,The price of Saltish is 50.0rs,Who is the manufacturer of Saltish?,The manufacturer of Saltish is Peek Freans,How many variants are there of Saltish?,
Patti Fry,10,Chips,What is Patti Fry?,"Patti Fry Masti Masala, a snack that brings a spicy twist to your munching moments",Winner,What is the price of Patti Fry?,The price of Patti Fry is 10.0rs,Who is the manufacturer of Patti Fry?,The manufacturer of Patti Fry is Winner,How many variants are there of Patti Fry?,
Finger Fries,10,Chips,What is Finger Fries?,Finger Fries is a black papper chips,Bolton,What is the price of Finger Fries?,The price of Finger Fries is 10.0rs,Who is the manufacturer of Finger Fries?,The manufacturer of Finger Fries is Bolton,How many variants are there of Finger Fries?,
Snackers,20,Chips,What is Snackers?," Snackers are a line of crunchy, triangle-shaped chips and snacks",Kolson,What is the price of Snackers?,The price of Snackers is 20.0rs,Who is the manufacturer of Snackers?,The manufacturer of Snackers is Kolson,How many variants are there of Snackers?,
Pingos,20,Chips,What is Pingos?," Pingos are a brand of puffed cornmeal snacks that come in a crunchy, ring-shaped form",Jojo,What is the price of Pingos?,The price of Pingos is 20.0rs,Who is the manufacturer of Pingos?,The manufacturer of Pingos is Jojo,How many variants are there of Pingos?,
Tikka Boti,10,Chips,What is Tikka Boti?,Tikka boti is a local company snacks with tikka falvour,Snacky,What is the price of Tikka Boti?,The price of Tikka Boti is 10.0rs,Who is the manufacturer of Tikka Boti?,The manufacturer of Tikka Boti is Snacky,How many variants are there of Tikka Boti?,
Chicken Maza,10,Chips,What is Chicken Maza?,chicken maza is a local company snacks with masala masti falvour,Local,What is the price of Chicken Maza?,The price of Chicken Maza is 10.0rs,Who is the manufacturer of Chicken Maza?,The manufacturer of Chicken Maza is Local,How many variants are there of Chicken Maza?,
Fillz,20,Chips,What is Fillz?,Fillz are light and crispy chips with Salt and Masala flavors,Snackcity,What is the price of Fillz?,The price of Fillz is 20.0rs,Who is the manufacturer of Fillz?,The manufacturer of Fillz is Snackcity,How many variants are there of Fillz?,
Pop Star,10,Chips,What is Pop Star?,"Pop Star snacks are a brand of baked, extruded snacks made from cornmeal, known for being a ""healthier alternative"" to fried potato snack",Shahi,What is the price of Pop Star?,The price of Pop Star is 10.0rs,Who is the manufacturer of Pop Star?,The manufacturer of Pop Star is Shahi,How many variants are there of Pop Star?,
Cheese Balls,20,Chips,What is Cheese Balls?," Cheese Balls are a popular, light, and crunchy snack made from cornmeal and flavored with either an original cheese or a tangy masala seasoning",Kolson,What is the price of Cheese Balls?,The price of Cheese Balls is 20.0rs,Who is the manufacturer of Cheese Balls?,The manufacturer of Cheese Balls is Kolson,How many variants are there of Cheese Balls?,
Chillz,50,Chips,What is Chillz?,"Chillz are spicy, crunchy potato sticks",Snackcity,What is the price of Chillz?,The price of Chillz is 50.0rs,Who is the manufacturer of Chillz?,The manufacturer of Chillz is Snackcity,How many variants are there of Chillz?,
Potato Sticks,20,Chips,What is Potato Sticks?,"Potato Sticks are a savory, crispy snack made from a blend of potato flakes and corn grits that are seasoned with pepper and salt",Kolson,What is the price of Potato Sticks?,The price of Potato Sticks is 20.0rs,Who is the manufacturer of Potato Sticks?,The manufacturer of Potato Sticks is Kolson,How many variants are there of Potato Sticks?,
Potato Snacks,20,Chips,What is Potato Snacks?,Potato Snacks is  yummy snack that come in Vegetable falvour,Yum Treats,What is the price of Potato Snacks?,The price of Potato Snacks is 20.0rs,Who is the manufacturer of Potato Snacks?,The manufacturer of Potato Snacks is Yum Treats,How many variants are there of Potato Snacks?,
Pringles,150,Chips,What is Pringles?,"Pringles are a brand of snack crisps made from a dehydrated potato-based dough, combined with other ingredients like corn, rice, and wheat flour",P&G,What is the price of Pringles?,The price of Pringles is 150.0rs,Who is the manufacturer of Pringles?,The manufacturer of Pringles is P&G,How many variants are there of Pringles?,
Dalda,200,Oil & Ghee,What is Dalda?,"Dalda is a brand of cooking oils and fats, most notably a popular brand of vanaspati ghee (vegetable ghee) in South Asia",Dalda Foods,What is the price of Dalda?,The price of Dalda is 200.0rs,Who is the manufacturer of Dalda?,The manufacturer of Dalda is Dalda Foods,How many variants are there of Dalda?,
Kisan,200,Oil & Ghee,What is Kisan?,"Kisan is brand that make oil and ghee, cooking oil is a blend of sunflower, canola, and soybean oils, while Kisan ghee is made from either pure desi cow ghee or vegetable fat (banaspati)",Faisalabad Oil Refinery (Pvt.) Limited (FORL),What is the price of Kisan?,The price of Kisan is 200.0rs,Who is the manufacturer of Kisan?,The manufacturer of Kisan is Faisalabad Oil Refinery (Pvt.) Limited (FORL),How many variants are there of Kisan?,
Habib,200,Oil & Ghee,What is Habib?,Habib refers to a brand of cooking oil and ghee from Habib Oil Mills,Habib,What is the price of Habib?,The price of Habib is 200.0rs,Who is the manufacturer of Habib?,The manufacturer of Habib is Habib,How many variants are there of Habib?,
Tullo,200,Oil & Ghee,What is Tullo?,Tullo most commonly refers to a brand of cooking oil and banaspati ghee popular in South Asia,Wazir Ali Industries Limited and Dalda Foods Ltd,What is the price of Tullo?,The price of Tullo is 200.0rs,Who is the manufacturer of Tullo?,The manufacturer of Tullo is Wazir Ali Industries Limited and Dalda Foods Ltd,How many variants are there of Tullo?,
Sufi,200,Oil & Ghee,What is Sufi?,Sufi is a brand of edible oils and ghee,Sufi Banaspati & Cooking Oil,What is the price of Sufi?,The price of Sufi is 200.0rs,Who is the manufacturer of Sufi?,The manufacturer of Sufi is Sufi Banaspati & Cooking Oil,How many variants are there of Sufi?,
Manpasand,200,Oil & Ghee,What is Manpasand?,Manpasand is a brand of cooking oil and banaspati ghee type of vegetable shortning popular in pakistan,Manpasand Beverages Limited,What is the price of Manpasand?,The price of Manpasand is 200.0rs,Who is the manufacturer of Manpasand?,The manufacturer of Manpasand is Manpasand Beverages Limited,How many variants are there of Manpasand?,
Golden Sun,200,Oil & Ghee,What is Golden Sun?,"This is a line of pure vegetable cooking oils that are refined, deodorized, and often made from sunflower seeds",Iffco Group,What is the price of Golden Sun?,The price of Golden Sun is 200.0rs,Who is the manufacturer of Golden Sun?,The manufacturer of Golden Sun is Iffco Group,How many variants are there of Golden Sun?,
Meezan,200,Oil & Ghee,What is Meezan?,"A lighter, versatile oil suitable for general cooking purposes like saut ing and frying.",Meezan Group,What is the price of Meezan?,The price of Meezan is 200.0rs,Who is the manufacturer of Meezan?,The manufacturer of Meezan is Meezan Group,How many variants are there of Meezan?,
Soya Supreme,200,Oil & Ghee,What is Soya Supreme?,Soya Supreme is a brand that produces cooking oils and banaspati ghee. Its products include various types of cooking oils,Agro Processors & Atmospheric Gases (Pvt.) Ltd. (APAG),What is the price of Soya Supreme?,The price of Soya Supreme is 200.0rs,Who is the manufacturer of Soya Supreme?,The manufacturer of Soya Supreme is Agro Processors & Atmospheric Gases (Pvt.) Ltd. (APAG),How many variants are there of Soya Supreme?,
Kiran,200,Oil & Ghee,What is Kiran?,Kiran is a brand of cooking oil and banaspati (vegetable ghee) from a Pakistani company that produces a variety of edible oils,Kiran Group,What is the price of Kiran?,The price of Kiran is 200.0rs,Who is the manufacturer of Kiran?,The manufacturer of Kiran is Kiran Group,How many variants are there of Kiran?,
Sultan,200,Oil & Ghee,What is Sultan?,"Sultan is a brand of cooking oil and ghee a blend of soybean, canola, and sunflower oils.",Al-Hilal Industries (Pvt) Limited,What is the price of Sultan?,The price of Sultan is 200.0rs,Who is the manufacturer of Sultan?,The manufacturer of Sultan is Al-Hilal Industries (Pvt) Limited,How many variants are there of Sultan?,
Bake Time,40,Cake,What is Bake Time?," Individually packaged cake slices in a variety of flavors, including plain, chocolate, and fruit.",Hilal Foods,What is the price of Bake Time?,The price of Bake Time is 40.0rs,Who is the manufacturer of Bake Time?,The manufacturer of Bake Time is Hilal Foods,How many variants are there of Bake Time?,
Good Goodies,20,Cake,What is Good Goodies?,Good Goodies is a delicious cake famous for its softness,Mitchells (Pvt) Ltd,What is the price of Good Goodies?,The price of Good Goodies is 20.0rs,Who is the manufacturer of Good Goodies?,The manufacturer of Good Goodies is Mitchells (Pvt) Ltd,How many variants are there of Good Goodies?,
Smile,50,Cake,What is Smile?,"A brand of cream-filled, sprinkle-covered donut cakes by Peek Freans, or a type of cake decorated with a smiley face.",Peek Freans,What is the price of Smile?,The price of Smile is 50.0rs,Who is the manufacturer of Smile?,The manufacturer of Smile is Peek Freans,How many variants are there of Smile?,
Lotus,50,Cake,What is Lotus?,"Lotus cake refers to two main types of desserts: one made with a sweet lotus seed paste filling and the other, more commonly, made with the flavors of Lotus Biscoff cookies.",Bisconni,What is the price of Lotus?,The price of Lotus is 50.0rs,Who is the manufacturer of Lotus?,The manufacturer of Lotus is Bisconni,How many variants are there of Lotus?,
Kake,20,Cake,What is Kake?,"Hilal CupKake. With its soft, fluffy sponge and delightful center filling, it s a treat loved by kids and trusted by parents.",Hilal Foods,What is the price of Kake?,The price of Kake is 20.0rs,Who is the manufacturer of Kake?,The manufacturer of Kake is Hilal Foods,How many variants are there of Kake?,
Care,80,Soap,What is Care?,"Care Rose Water & Strawberry Extract Soap offers a balanced mixture of essence including citrus, moss, amber, and warm woods and roses.",Care Cosmetics,What is the price of Care?,The price of Care is 80.0rs,Who is the manufacturer of Care?,The manufacturer of Care is Care Cosmetics,How many variants are there of Care?,
Capri,80,Soap,What is Capri?,"The soaps are made with natural ingredients and fragrances, aiming to provide a luxurious, gentle cleansing experience that leaves skin soft, nourished, and fresh. ",ZIL Limited,What is the price of Capri?,The price of Capri is 80.0rs,Who is the manufacturer of Capri?,The manufacturer of Capri is ZIL Limited,How many variants are there of Capri?,
Lara,80,Soap,What is Lara?,Lara is a beautiful soap with elegant fragrance ,Lara Cosmetic,What is the price of Lara?,The price of Lara is 80.0rs,Who is the manufacturer of Lara?,The manufacturer of Lara is Lara Cosmetic,How many variants are there of Lara?,
Express Power,250,Detergent,What is Express Power?,"Express Power is a brand of laundry detergent that comes in both powder and bar forms, known for providing an economical, high-quality wash with powerful stain-lifting capabilities.",Colgate-Palmolive (Pakistan) Ltd,What is the price of Express Power?,The price of Express Power is 250.0rs,Who is the manufacturer of Express Power?,The manufacturer of Express Power is Colgate-Palmolive (Pakistan) Ltd,How many variants are there of Express Power?,
Yums,10,Chew,What is Yums?,"Candyland Yums Fruity Chews, a type of chewy, fruit-flavored.",CandyLand,What is the price of Yums?,The price of Yums is 10.0rs,Who is the manufacturer of Yums?,The manufacturer of Yums is CandyLand,How many variants are there of Yums?,
Super Sour,5,Candy,What is Super Sour?,Super Sour Ultra Sour and Toxic Waste Hazardously Sour Candy,Hilal Foods,What is the price of Super Sour?,The price of Super Sour is 5.0rs,Who is the manufacturer of Super Sour?,The manufacturer of Super Sour is Hilal Foods,How many variants are there of Super Sour?,There are no variants (sizes) of Super Sour?
Creamers,5,Candy,What is Creamers?,"Creamer are small, hard candies that have a creamy, smooth texture",Mayfair,What is the price of Creamers?,The price of Creamers is 5.0rs,Who is the manufacturer of Creamers?,The manufacturer of Creamers is Mayfair,How many variants are there of Creamers?,There are no variants (sizes) of Creamers?
Bisca,30,Chocolate,What is Bisca?,Bisca is a chocolate-covered biscuit treat that combines crunchy biscuits with a layer of caramel and is coated in chocolate.,CandyLand,What is the price of Bisca?,The price of Bisca is 30.0rs,Who is the manufacturer of Bisca?,The manufacturer of Bisca is CandyLand,How many variants are there of Bisca?,
Caramel,30,Chocolate,What is Caramel?,"Caramel chocolate is a combination of caramel and chocolate, ",Shirin Asal,What is the price of Caramel?,The price of Caramel is 30.0rs,Who is the manufacturer of Caramel?,The manufacturer of Caramel is Shirin Asal,How many variants are there of Caramel?,
You,30,Chocolate,What is You?,You is chocolate known for its creamy texture and balanced sweetness. ,CandyLand,What is the price of You?,The price of You is 30.0rs,Who is the manufacturer of You?,The manufacturer of You is CandyLand,How many variants are there of You?,
Hiss,30,Chocolate,What is Hiss?,Hiss chocolate is an Iranian chocolate bar,Shirin Asal,What is the price of Hiss?,The price of Hiss is 30.0rs,Who is the manufacturer of Hiss?,The manufacturer of Hiss is Shirin Asal,How many variants are there of Hiss?,
Bittens,30,Chocolate,What is Bittens?,"Bittens chocolate refers to a brand of affordable, smooth, and creamy milk chocolate bars",Innovative,What is the price of Bittens?,The price of Bittens is 30.0rs,Who is the manufacturer of Bittens?,The manufacturer of Bittens is Innovative,How many variants are there of Bittens?,
Mars,150,Chocolate,What is Mars?,"A Mars chocolate bar is a chocolate bar that consists of a chocolate-malt nougat and caramel center, covered in milk chocolate","Mars, Incorporated",What is the price of Mars?,The price of Mars is 150.0rs,Who is the manufacturer of Mars?,"The manufacturer of Mars is Mars, Incorporated",How many variants are there of Mars?,
KitKat,150,Chocolate,What is KitKat?,KitKat is a popular chocolate bar featuring crispy wafer layers covered in milk chocolate.,Nestle,What is the price of KitKat?,The price of KitKat is 150.0rs,Who is the manufacturer of KitKat?,The manufacturer of KitKat is Nestle,How many variants are there of KitKat?,
Opus,5,Chocolate,What is Opus?,"Opus is a brand of chocolate, primarily known for a caramel-filled bar that features a rich chocolate exterior and a soft, gooey caramel center",Giggly,What is the price of Opus?,The price of Opus is 5.0rs,Who is the manufacturer of Opus?,The manufacturer of Opus is Giggly,How many variants are there of Opus?,
